sepal_length sepal_width petal_length petal_width class
sl2 sw1 pl2 pw2 Iris_versicolor
sl2 sw3 pl3 pw3 Iris_virginica
sl2 sw1 pl3 pw3 Iris_virginica
sl3 sw2 pl3 pw3 Iris_virginica
sl2 sw1 pl3 pw3 Iris_virginica
sl3 sw2 pl3 pw3 Iris_virginica
sl3 sw2 pl3 pw3 Iris_virginica
sl1 sw1 pl2 pw3 Iris_virginica
sl3 sw1 pl3 pw3 Iris_virginica
sl3 sw1 pl3 pw3 Iris_virginica
sl3 sw3 pl3 pw3 Iris_virginica
sl3 sw2 pl3 pw3 Iris_virginica
sl3 sw1 pl3 pw3 Iris_virginica
sl3 sw2 pl3 pw3 Iris_virginica
sl2 sw1 pl3 pw3 Iris_virginica
sl2 sw1 pl3 pw3 Iris_virginica
sl3 sw2 pl3 pw3 Iris_virginica
sl3 sw2 pl3 pw3 Iris_virginica
sl3 sw3 pl3 pw3 Iris_virginica
sl3 sw1 pl3 pw3 Iris_virginica
sl2 sw1 pl3 pw2 Iris_virginica
sl3 sw2 pl3 pw3 Iris_virginica
sl2 sw1 pl2 pw3 Iris_virginica
sl3 sw1 pl3 pw3 Iris_virginica
sl2 sw1 pl2 pw3 Iris_virginica
sl3 sw3 pl3 pw3 Iris_virginica
sl3 sw2 pl3 pw3 Iris_virginica
sl2 sw1 pl2 pw3 Iris_virginica
sl2 sw2 pl2 pw3 Iris_virginica
sl3 sw1 pl3 pw3 Iris_virginica
sl3 sw2 pl3 pw2 Iris_virginica
sl3 sw1 pl3 pw3 Iris_virginica
sl3 sw3 pl3 pw3 Iris_virginica
sl3 sw1 pl3 pw3 Iris_virginica
sl2 sw1 pl3 pw2 Iris_virginica
sl2 sw1 pl3 pw2 Iris_virginica
sl3 sw2 pl3 pw3 Iris_virginica
sl2 sw3 pl3 pw3 Iris_virginica
sl3 sw2 pl3 pw3 Iris_virginica
sl2 sw2 pl2 pw3 Iris_virginica
sl3 sw2 pl3 pw3 Iris_virginica
sl3 sw2 pl3 pw3 Iris_virginica
sl3 sw2 pl3 pw3 Iris_virginica
sl2 sw1 pl3 pw3 Iris_virginica
sl3 sw2 pl3 pw3 Iris_virginica
sl3 sw3 pl3 pw3 Iris_virginica
sl3 sw2 pl3 pw3 Iris_virginica
sl2 sw1 pl3 pw3 Iris_virginica
sl3 sw2 pl3 pw3 Iris_virginica
sl2 sw3 pl3 pw3 Iris_virginica
sl2 sw2 pl3 pw3 Iris_virginica
